time_s,ax,ay,az,gx,gy,gz,raw_pitch,kalman_pitch
0.0002,2088,-136,16004,962,-817,60,-7.43,-0.00
0.0161,1732,-160,16520,1250,-323,220,-5.98,-0.04
0.0358,760,288,17100,1229,895,-127,-2.54,0.09
0.0505,700,504,17172,1244,1093,-790,-2.33,0.21
0.0648,1720,184,17892,801,1348,-1108,-5.49,0.34
0.0830,2180,232,18080,165,2352,-1130,-6.87,0.65
0.0987,2244,588,18060,-390,1972,-847,-7.08,0.86
0.1170,2288,252,17724,-960,228,-358,-7.35,0.86
0.1317,2712,-568,17328,-1255,1153,-103,-8.89,0.94
0.1478,1808,-548,16800,-1327,3436,17,-6.14,1.33
0.1645,964,-8,16416,-1060,3959,-105,-3.36,1.80
0.1806,628,376,16144,-652,2450,-306,-2.23,2.08
0.1949,2440,588,21708,-2308,1577,320,-6.41,2.19
0.2131,1404,-20,15240,-1785,2391,-199,-5.26,2.47
0.2279,-196,536,15456,-786,1992,-186,0.73,2.68
0.2425,452,740,15648,63,2189,-456,-1.65,2.88
0.2605,16,488,15472,1106,4338,-1042,-0.06,3.45
0.2749,724,380,15224,2176,4405,-1262,-2.72,3.87
0.2909,1488,272,15776,2601,2304,-712,-5.39,4.05
0.3076,844,16,17844,2327,1589,-221,-2.71,4.18
0.3233,1000,-184,18164,1397,2634,-135,-3.15,4.41
0.3379,592,-240,17524,571,4917,-176,-1.93,4.88
0.3522,-1660,892,17044,1459,7994,-1611,5.56,5.74
0.3704,-320,124,17072,346,7783,-1853,1.07,6.75
0.3847,324,124,16228,327,6603,-1425,-1.14,7.35
0.4007,744,468,16480,583,2939,-131,-2.58,7.57
0.4173,-472,144,15884,1251,3384,356,1.70,7.90
0.4316,-880,-100,16544,1644,5295,169,3.04,8.39
0.4476,-788,80,17620,1453,8377,-105,2.56,9.30
0.4643,-1040,-196,17284,1424,10668,-209,3.44,10.54
0.4793,-2244,-180,16384,2154,11346,-770,7.80,11.76
0.4956,-2660,-80,15992,2756,10021,-1097,9.44,12.94
0.5129,-2112,-180,15220,3408,10729,-1322,7.90,14.23
0.5280,-1692,-8,15656,4006,12307,-1004,6.17,15.46
0.5444,-3424,892,17296,3590,12290,-715,11.18,16.88
0.5619,-4464,1104,17844,2604,11223,-853,14.02,18.28
0.5772,-3776,1264,17160,2030,10070,-791,12.38,19.30
0.5964,-3012,1732,17448,1358,7850,-271,9.75,20.21
0.6118,-4228,1708,16880,428,7591,251,13.99,20.93
0.6274,-5240,1348,16248,-422,5803,55,17.82,21.52
0.6485,-4464,1320,15280,-720,2439,265,16.23,21.75
0.6641,-4236,1184,15288,-683,1337,809,15.44,21.74
0.6832,-5156,1480,16440,-842,-247,1082,17.35,21.57
0.6990,-5348,1648,16744,-1222,-1619,1212,17.63,21.26
0.7168,-4836,1264,16292,-1138,-3670,926,16.49,20.63
0.7337,-3292,952,16304,-678,-3829,1184,11.40,19.88
0.7513,-3616,788,15640,-158,-2166,1247,13.00,19.38
0.7668,-3964,1176,15672,515,-3840,1395,14.16,18.77
0.7837,-4004,808,14368,2125,-6196,1565,15.55,17.87
0.8013,-1968,480,14144,4762,-6707,2036,7.92,16.68
0.8165,-3192,892,14764,7114,-6949,2207,12.18,15.73
0.8356,-2992,1940,16652,8476,-7610,1990,10.12,14.45
0.8518,-3552,2188,16064,9404,-6341,1372,12.36,13.58
0.8676,-3100,2540,15668,10782,-6312,810,11.05,12.73
0.8867,-2936,3088,17564,11652,-6677,555,9.35,11.63
0.9022,-3680,3672,19064,10785,-4444,-298,10.73,11.05
0.9230,-3788,4324,18968,9317,1137,-1517,11.02,11.17
0.9386,-2604,4660,17332,8660,2424,-1859,8.26,11.31
0.9560,-1532,4464,15112,8818,-80,-988,5.55,11.07
0.9727,-1684,4480,16884,9098,-2274,-288,5.51,10.56
0.9881,-2412,5008,17924,8287,-1358,-497,7.38,10.25
1.0052,-3128,5420,17220,8090,-826,-843,9.83,10.08
1.0204,-2276,5320,16276,7924,-1715,-898,7.57,9.75
1.0366,-1668,5048,14916,7929,-3102,-649,6.05,9.21
1.0532,-1212,4508,14644,8818,-2581,-733,4.52,8.68
1.0682,-524,5052,13752,9776,-2847,-199,2.05,8.08
1.0829,-1048,5848,15160,10383,-3626,472,3.69,7.48
1.1011,-3184,6436,15748,10230,-1369,169,10.60,7.34
1.1163,-3752,6096,15604,9594,1069,-884,12.62,7.59
1.1314,-872,6500,14468,9520,1948,-857,3.15,7.60
1.1495,-776,6604,14372,10170,809,-621,2.81,7.47
1.1643,-1128,7032,14456,10737,-359,-454,4.01,7.25
1.1789,-888,7600,14348,10639,-1609,76,3.13,6.87
1.1960,-1116,7772,14136,10492,-2607,674,3.96,6.37
1.2121,-1484,7788,13924,10354,-2480,685,5.31,5.97
1.2268,-1116,7892,13664,10229,-1476,640,4.05,5.68
1.2436,-736,8504,13408,10331,-958,585,2.65,5.38
1.2606,-636,8868,13628,10459,-744,603,2.24,5.10
1.2820,-1172,9736,14020,10285,-1183,548,3.93,4.78
1.2984,-1152,10232,13908,9489,-1433,302,3.82,4.50
1.3153,-1416,10412,13488,8690,-1565,421,4.75,4.24
1.3313,-1948,10268,13396,8090,-594,193,6.58,4.19
1.3462,-1624,10588,13780,7307,684,-508,5.34,4.24
1.3654,-1416,11344,13652,6469,1968,-1111,4.56,4.45
1.3800,-1288,11332,12860,6158,1531,-1202,4.30,4.55
1.3960,-624,10904,11616,6064,772,-782,2.24,4.48
1.4130,-740,11032,11320,6191,294,-216,2.68,4.37
1.4274,-168,11432,11468,6497,-309,326,0.59,4.13
1.4420,-512,11680,11424,6653,-1030,771,1.79,3.86
1.4600,-852,11620,11248,7025,-1643,1134,3.02,3.53
1.4746,-1572,11632,11084,7149,-1381,820,5.59,3.40
1.4892,-1492,11700,11096,7163,-880,135,5.29,3.31
1.5039,-916,12060,11392,7086,-435,-176,3.16,3.19
1.5216,-888,12432,11416,6977,-296,-189,3.01,3.07
1.5361,-1208,12704,11112,6928,-371,-71,4.09,3.00
1.5507,-1516,12880,10924,6764,-70,-81,5.13,3.01
1.5688,-1504,12668,10736,6672,477,-408,5.18,3.09
1.5836,-1028,11992,10064,6439,679,-730,3.76,3.12
1.5982,-624,12056,9444,6312,474,-743,2.33,3.08
1.6127,-884,12776,9544,6340,528,-618,3.17,3.08
1.6306,-960,13308,9820,6447,347,-583,3.32,3.06
1.6453,-624,13412,9644,6363,96,-361,2.16,2.97
1.6596,-580,13480,9556,6054,-115,-62,2.01,2.86
1.6780,-1524,13884,9432,5281,-533,116,5.19,2.80
1.6940,-1540,13820,9228,4747,-242,-85,5.29,2.80
1.7086,-1152,13752,9076,4629,341,-504,4.00,2.83
1.7250,-532,13748,8960,4745,647,-810,1.86,2.80
1.7397,-340,13684,8732,4495,480,-616,1.20,2.73
1.7541,-656,13932,8720,4289,90,-350,2.29,2.66
1.7734,-1120,13988,8536,3891,-285,-254,3.91,2.59
1.7879,-1324,14016,8448,3625,-157,-459,4.63,2.59
1.8024,-988,14008,8580,3356,130,-455,3.44,2.58
1.8166,-868,13776,8412,3140,233,-402,3.08,2.57
1.8342,-940,13916,8056,3035,439,-407,3.35,2.59
1.8487,-1316,14180,7848,3039,674,-458,4.64,2.68
1.8634,-1596,14296,7756,2853,469,-389,5.60,2.79
1.8801,-1328,14048,7940,2308,43,-258,4.70,2.81
1.8947,-932,14160,8064,1583,-53,-146,3.27,2.77
1.9106,-1428,14476,8128,835,148,-72,4.92,2.81
1.9289,-1116,14988,7904,423,155,-211,3.77,2.81
1.9435,-928,14612,7996,414,353,-366,3.19,2.81
1.9579,-112,14420,7940,521,573,-314,0.39,2.72
1.9725,-224,14036,7888,309,413,-36,0.80,2.63
1.9904,-948,14064,7812,-208,53,286,3.37,2.60
2.0048,-1348,14128,7864,-518,134,221,4.77,2.65
2.0195,-1076,14124,7712,-806,234,71,3.83,2.67
2.0363,-768,14340,7664,-957,482,56,2.70,2.67
2.0520,-384,14636,7952,-1305,574,123,1.32,2.62
2.0664,-1088,14588,8156,-1702,537,259,3.72,2.67
2.0830,-1156,14512,8240,-2364,596,186,3.96,2.74
2.0977,-844,14424,7968,-2721,582,208,2.93,2.76
